Car World|123 Main St|555-123-4567
11111|2019|Toyota|RAV4|SUV|blue|10000|27995.0
41070|2021|Chevrolet|F-150|Sedan|green|7394|29413.67
80737|2009|Ford|RAV4|SUV|green|6154|21866.66
38084|2011|Chevrolet|Camry|SUV|red|14062|32934.14
88477|2003|Toyota|Altima|Truck|green|8779|34269.48
57441|2017|Nissan|Camry|Truck|blue|12014|31950.62
53592|2005|Ford|Altima|SUV|blue|5278|31997.58
81416|2006|Honda|Camry|Truck|white|8860|27582.54
35811|2014|Honda|RAV4|SUV|blue|11217|26434.73
69983|2001|Honda|Camry|Hatchback|red|10219|26089.24
12482|2011|Chevrolet|F-150|SUV|red|9276|20010.71
68144|2015|Chevrolet|F-150|SUV|red|11381|28264.14
85412|2002|Chevrolet|F-150|SUV|green|6783|29809.15
18345|2019|Ford|Altima|SUV|red|14718|21479.72
88139|2019|Toyota|F-150|Sedan|white|13714|29396.4
93744|2014|Chevrolet|Accord|Hatchback|black|5283|34659.92
46678|2023|Honda|F-150|Truck|green|9962|27869.92
10271|2021|Ford|Accord|Hatchback|white|10878|28394.82
57955|2010|Nissan|Altima|SUV|black|7334|22981.26
34023|2008|Honda|Accord|SUV|red|9376|23676.0
39250|2016|Ford|Accord|Truck|blue|10746|34347.57
72727|2016|Nissan|Accord|SUV|green|11554|24085.41
86332|2014|Ford|F-150|Truck|blue|7227|28027.51
96013|2021|Ford|Accord|SUV|black|12352|31325.86
26884|2020|Chevrolet|Accord|Sedan|white|9425|22716.61
77500|2013|Ford|F-150|Sedan|black|7375|31998.56
